,method,roc,prc,cost,lambda,delay(p>=0.3),delay(p>=0.5),delay(p>=0.7)
0,ASAC,0.6044479372372009,0.5223497930887975,0.0,0.1,1.4011403322219849,1.396071195602417,1.3602629899978638
0,ASAC,0.6842580418194764,0.6563592239299542,2.000000238418579,0.01,0.1664089560508728,0.09684789180755615,0.16930809617042542
0,ASAC,0.6770353179281023,0.585093441942468,3.619999885559082,0.005,1.4034596681594849,1.396071195602417,1.3602629899978638
0,ASAC,0.6859693318522548,0.656936215285046,15.447500228881836,0.001,0.0707383081316948,0.036089539527893066,0.12698107957839966
0,ASAC,0.6198128669111621,0.5278271054091666,0.0,0.1,1.4011403322219849,1.396071195602417,1.3602629899978638
0,ASAC,0.6432155229449615,0.5898833877737277,0.26750001311302185,0.01,1.1257247924804688,1.0461398363113403,1.0106301307678223
0,ASAC,0.6741950099242333,0.6296489979127917,1.2655000686645508,0.005,1.4011403322219849,1.396071195602417,1.3602629899978638
0,ASAC,0.6842183700748263,0.6565168301074641,26.5049991607666,0.001,0.15191341936588287,0.0986752063035965,0.13567841053009033
0,ASAC,0.515029084216607,0.5049635971656545,0.0,0.1,1.4011403322219849,1.396071195602417,1.3602629899978638
0,ASAC,0.47774409877550744,0.49850707431435776,0.030000003054738045,0.01,1.4011403322219849,1.396071195602417,1.3602629899978638
0,ASAC,0.6827015555521971,0.6532310405012626,2.704000234603882,0.005,0.09741013497114182,0.03837370499968529,0.04754543676972389
0,ASAC,0.6757800955312403,0.6526321392339725,10.73550033569336,0.001,0.09683031588792801,0.09090911597013474,0.14901432394981384
0,ASAC,0.6031045554077836,0.521517748518424,0.0,0.1,1.4011403322219849,1.396071195602417,1.3602629899978638
0,ASAC,0.6170421418879889,0.5267325040425271,0.0,0.01,1.4011403322219849,1.396071195602417,1.3602629899978638
0,ASAC,0.6129259360012898,0.6043069685268587,11.09225082397461,0.005,0.5638770461082458,0.565098226070404,0.6192500591278076
0,ASAC,0.6861930888882173,0.6525969592805018,21.808250427246094,0.001,0.14814457297325134,0.22110553085803986,0.46095865964889526
0,ASAC,0.6039441690511694,0.5222018266067352,0.0,0.1,1.4011403322219849,1.396071195602417,1.3602629899978638
0,ASAC,0.6031045554077836,0.521517748518424,0.0,0.01,1.4011403322219849,1.396071195602417,1.3602629899978638
0,ASAC,0.6777833087326537,0.6551991347640771,2.2950000762939453,0.005,0.1559721678495407,0.10415715724229813,0.17220720648765564
0,ASAC,0.689611156030441,0.6591303277856514,9.882499694824219,0.001,0.08929261565208435,0.059844691306352615,0.06899886578321457
